344
140 4935
210 4935
490 4935
560 4935
140 4865
560 4865
2170 4830
2240 4830
2555 4830
2625 4830
2170 4760
2625 4760
3010 4725
3080 4725
3780 4725
3850 4725
735 4690
805 4690
1680 4690
1750 4690
3010 4655
3850 4655
735 4620
1750 4620
4445 4620
4515 4620
4795 4620
4865 4620
4445 4550
4865 4550
735 4305
1750 4305
735 4235
805 4235
1680 4235
1750 4235
2170 4165
2625 4165
2170 4095
2240 4095
2555 4095
2625 4095
3850 3955
140 3885
560 3885
3780 3885
3850 3885
140 3815
210 3815
490 3815
560 3815
595 3780
665 3780
1540 3780
1610 3780
1820 3780
1890 3780
2765 3780
2835 3780
595 3710
1610 3710
1820 3710
2835 3710
3150 3605
3220 3605
3955 3605
4025 3605
3150 3535
4025 3535
1820 3500
1820 3430
1890 3430
3150 3185
4025 3185
4445 3185
4865 3185
1820 3150
1890 3150
3150 3115
3220 3115
3955 3115
4025 3115
4445 3115
4515 3115
4795 3115
4865 3115
1820 3080
595 2940
980 2940
595 2870
665 2870
910 2870
980 2870
1820 2870
2835 2870
1820 2800
1890 2800
2765 2800
2835 2800
3535 2800
3605 2800
4235 2800
4305 2800
3535 2730
4305 2730
1190 2660
1610 2660
4550 2625
4620 2625
4760 2625
4830 2625
1190 2590
1260 2590
1540 2590
1610 2590
1750 2590
1820 2590
2205 2590
2275 2590
210 2555
280 2555
980 2555
1050 2555
4550 2555
4830 2555
1750 2520
2275 2520
210 2485
1050 2485
1295 2450
1365 2450
1505 2450
1575 2450
4550 2415
4830 2415
1295 2380
1575 2380
4550 2345
4620 2345
4760 2345
4830 2345
2520 2310
2590 2310
3290 2310
3360 2310
2520 2240
3360 2240
210 2205
1050 2205
210 2135
280 2135
980 2135
1050 2135
1750 2135
2275 2135
1750 2065
1820 2065
2205 2065
2275 2065
1925 1995
1995 1995
280 1960
350 1960
945 1960
1015 1960
1995 1925
280 1890
1015 1890
1295 1750
1995 1750
2520 1750
3360 1750
1295 1680
1365 1680
1925 1680
1995 1680
2520 1680
2590 1680
3290 1680
3360 1680
2100 1645
2170 1645
2380 1645
2450 1645
3535 1610
4305 1610
280 1575
1015 1575
2100 1575
2450 1575
3535 1540
3605 1540
4235 1540
4305 1540
280 1505
350 1505
945 1505
1015 1505
4515 1505
4585 1505
4865 1505
4935 1505
4515 1435
4935 1435
455 1295
525 1295
1715 1295
1785 1295
2695 1295
2765 1295
3815 1295
3885 1295
455 1225
1785 1225
2695 1225
3885 1225
2695 840
3885 840
2695 770
2765 770
3815 770
3885 770
455 700
1785 700
3255 665
3325 665
4235 665
4305 665
455 630
525 630
1715 630
1785 630
4515 630
4935 630
3255 595
4305 595
4515 560
4585 560
4865 560
4935 560
2100 490
2450 490
2100 420
2170 420
2380 420
2450 420
3255 350
4305 350
3255 280
3325 280
4235 280
4305 280
70 5145
5145 5145
1890 5005
3080 4970
3605 4970
3850 4970
3360 4935
4130 4935
4410 4935
4690 4935
4935 4900
4130 4655
2765 4550
1995 4515
4095 4340
4305 4340
5005 4340
1960 4305
2940 4200
3150 4200
5005 4130
1960 4095
1330 4060
770 4025
1085 4025
1540 4025
1750 4025
4165 4025
2835 3990
3220 3990
5005 3920
3465 3815
4060 3815
4270 3780
5005 3710
210 3605
4270 3535
5005 3500
2450 3430
315 3395
980 3325
1190 3325
4235 3325
2100 3290
2450 3150
280 3115
4235 3115
5005 2905
4550 2870
4795 2870
280 2835
3185 2765
2520 2625
3080 2555
3290 2555
2870 2520
4445 2135
4935 2100
1575 1995
4690 1960
4445 1925
2205 1855
4935 1855
4655 1750
1575 1540
2800 1540
3010 1505
1225 1470
3220 1470
4095 1330
4305 1330
210 1295
4235 1085
1925 1015
245 980
4095 875
4305 875
210 770
3010 595
210 560
2695 525
875 490
1155 455
1610 420
665 385
210 350
4970 315
4725 280
1120 245
1610 210
70 70
5145 70
