1000
1330 14385
1400 14385
2030 14350
315 14315
420 14315
1225 14315
1330 14315
910 14280
1470 14280
1995 14280
2170 14280
1330 14245
1400 14245
1330 14175
1260 14140
1330 14140
1820 14140
1890 14140
1960 14140
1400 14105
1400 14070
1750 14070
1960 14070
980 14000
105 13965
175 13965
770 13965
735 13930
1680 13930
1750 13930
105 13895
315 13895
980 13860
1680 13860
1820 13860
280 13825
350 13825
1085 13825
1155 13825
1820 13825
1855 13825
1890 13825
1960 13825
350 13790
1225 13790
1995 13790
350 13755
455 13755
525 13755
1400 13755
1820 13755
1960 13755
1995 13755
105 13685
455 13685
1155 13685
1575 13685
525 13650
665 13650
1855 13650
455 13615
525 13615
945 13615
1015 13615
1960 13615
35 13580
525 13580
595 13580
945 13580
1260 13580
1820 13580
2170 13580
210 13545
490 13545
560 13545
910 13545
1470 13545
1540 13545
1960 13545
560 13510
560 13475
1540 13475
525 13440
560 13440
630 13440
1155 13440
1225 13440
1295 13440
1540 13440
1715 13440
1785 13440
490 13405
560 13405
2030 13405
1225 13370
1785 13370
2065 13370
1190 13335
2065 13335
1820 13300
1855 13300
455 13265
700 13265
805 13265
1120 13265
1610 13265
1785 13265
385 13230
560 13230
805 13230
1295 13230
1470 13230
0 13195
175 13195
525 13195
1155 13195
1330 13195
2100 13195
735 13160
1680 13160
1750 13160
1750 13090
1820 13090
630 13055
1575 13055
35 13020
770 13020
1470 13020
1820 13020
665 12985
1365 12985
2065 12985
1575 12950
595 12915
2065 12915
2100 12880
595 12845
1505 12845
1995 12845
1575 12810
1645 12810
1995 12810
665 12775
1750 12775
1645 12740
2170 12740
35 12705
1120 12705
1225 12705
1785 12635
560 12600
945 12565
630 12530
840 12460
910 12460
1505 12460
1610 12460
140 12425
735 12425
1225 12425
1295 12425
1470 12425
1960 12425
2065 12425
770 12390
910 12390
1260 12390
665 12355
315 12320
840 12320
910 12320
2135 12320
140 12285
70 12215
140 12215
140 12180
1610 12180
1120 12145
1505 12145
1785 12110
1050 12075
595 12005
350 11970
1575 11970
840 11935
1505 11900
2100 11900
910 11865
2030 11865
35 11830
2100 11830
2170 11830
1540 11725
245 11690
980 11655
1085 11550
1925 11550
2030 11550
1085 11515
1120 11515
1155 11515
1505 11480
1610 11480
1085 11445
1190 11445
2135 11445
770 11410
1610 11410
1680 11410
2135 11410
315 11375
805 11375
1190 11375
1855 11375
1925 11375
2030 11375
2100 11375
770 11340
1540 11340
1645 11340
1680 11340
420 11305
805 11305
840 11305
875 11305
910 11305
1330 11305
