278
1 70 5145
2 5145 5145
3 315 5040
4 875 5040
5 1260 5040
6 1435 5040
7 2380 5040
8 2730 5040
9 1890 5005
10 3045 5005
11 3815 4970
12 140 4935
13 560 4935
14 3290 4935
15 3570 4935
16 4130 4935
17 4410 4935
18 4690 4935
19 4935 4900
20 1120 4865
21 1505 4865
22 2170 4830
23 2625 4830
24 4620 4760
25 3010 4725
26 3850 4725
27 5040 4725
28 735 4690
29 1750 4690
30 4130 4655
31 2765 4620
32 4445 4620
33 4865 4620
34 3010 4585
35 1995 4550
36 3955 4550
37 3080 4515
38 4130 4480
39 3150 4445
40 4305 4445
41 2765 4410
42 5005 4410
43 3220 4375
44 3955 4375
45 1960 4340
46 2940 4340
47 3290 4305
48 4130 4270
49 4305 4270
50 735 4235
51 1750 4235
52 3360 4235
53 3955 4200
54 5005 4200
55 2905 4165
56 3430 4165
57 1960 4130
58 1505 4095
59 2170 4095
60 2625 4095
61 3115 4095
62 3500 4095
63 4340 4095
64 700 4025
65 1015 4025
66 1295 4025
67 1715 4025
68 3570 4025
69 2800 3990
70 3290 3990
71 5005 3990
72 1890 3955
73 2380 3955
74 3640 3955
75 4165 3955
76 2065 3920
77 2555 3920
78 4340 3920
79 3115 3885
80 3710 3885
81 3850 3885
82 140 3815
83 560 3815
84 1610 3780
85 1820 3780
86 2835 3780
87 3395 3780
88 4025 3780
89 5005 3780
90 315 3710
91 3570 3710
92 3745 3710
93 4270 3710
94 490 3640
95 1715 3605
96 2940 3605
97 3150 3605
98 4025 3605
99 5005 3570
100 315 3500
101 490 3465
102 4270 3465
103 1820 3430
104 2450 3430
105 2975 3395
106 5005 3360
107 980 3325
108 1190 3325
109 490 3290
110 2030 3290
111 2240 3290
112 4235 3255
113 2940 3220
114 315 3185
115 5040 3185
116 1085 3150
117 1820 3150
118 2450 3150
119 490 3115
120 3150 3115
121 4025 3115
122 4445 3115
123 4865 3115
124 2940 3045
125 4235 3045
126 3325 3010
127 3500 3010
128 1715 2975
129 3745 2975
130 3115 2940
131 3920 2940
132 280 2905
133 5005 2905
134 595 2870
135 980 2870
136 4550 2870
137 4795 2870
138 3360 2835
139 1820 2800
140 2835 2800
141 3535 2800
142 4305 2800
143 770 2765
144 3010 2765
145 3185 2765
146 175 2730
147 350 2730
148 5005 2730
149 525 2695
150 1995 2695
151 4550 2625
152 4830 2625
153 1190 2590
154 1610 2590
155 1750 2590
156 2275 2590
157 2555 2590
158 3395 2590
159 210 2555
160 1050 2555
161 5005 2555
162 2835 2520
163 3080 2520
164 1295 2450
165 1575 2450
166 5005 2380
167 4550 2345
168 4830 2345
169 2520 2310
170 3360 2310
171 4410 2170
172 4585 2170
173 210 2135
174 1050 2135
175 1750 2065
176 2275 2065
177 4900 2065
178 1575 1995
179 1995 1995
180 4410 1995
181 280 1960
182 1015 1960
183 1190 1960
184 4620 1960
185 2380 1890
186 2205 1855
187 175 1785
188 1120 1785
189 4900 1785
190 4445 1750
191 4655 1750
192 1295 1680
193 1995 1680
194 2520 1680
195 3360 1680
196 2100 1645
197 2450 1645
198 1750 1540
199 2730 1540
200 3150 1540
201 3535 1540
202 4305 1540
203 280 1505
204 1015 1505
205 1540 1505
206 1925 1505
207 2940 1505
208 3325 1505
209 4515 1505
210 4935 1505
211 1225 1470
212 2555 1470
213 3710 1435
214 630 1400
215 805 1400
216 4095 1400
217 4270 1365
218 1960 1330
